哈囉,大家好,我是有上傑
那從去年八月開始啊,不知不覺到現在
解鎖地球已經陪伴大家半年的時間了
那不知道在這過程中,大家還喜歡我們的節目嗎?
那跟大家說一個消息
在FIRSTORY的技術支援下
我們解鎖地球終於有自己的贊助連結了
現在大家只要到每一個單集下面的show notes
就可以看到我們專屬的贊助連結
那點擊之後就可以輕鬆免登入
直接透過Apple Pay信用卡等等的方式
來直接小額贊助解鎖地球囉
那因為大家知道,我們在做Podcast的節目
不管是購買器材或是上傳到雲端空間
其實都是需要很多的成本
那所以也希望大家透過小額捐款來支持我們啦
讓我們每次在錄音的同時有咖啡可以喝
那所以呢,每個捐款我們都非常謝謝大家的支持
那希望大家也可以用行動來鼓勵我們繼續做節目下去
另外還沒有在臉書還有IG上追蹤我們的聽眾啊
趕快到臉書跟IG搜尋解鎖地球
才不會錯過我們每天更新的精彩照片喔
- 大家好,我是尤尚捷
- 哈囉,我是Jason
- 歡迎大家收聽
- 解鎖地球
- 把他重來嗎?
- 有啦有啦有對到啦,我覺得應該有啦
- OK
- 欸你知道你是我第一個邀請上節目的室友嗎?
- 真的嗎?
- 真的
- 等一下就是我們會請Jason一起來分享之前
- 應該算是三年前
- 差不多三年前,對
- 對,到八馬當,應該算是外交替代儀嗎?
- 對,我的是外交教育儀
- 因為我去那邊其實是到那邊的華僑學校教中文
- 華僑學校教中文
- 對
- 所以當地那個就是被你教的人都是就是華裔這樣子
- 嗯,那間學校一開始應該是只有華人唸
- 可是後來就是你知道它是一間類似私人的貴族學校
- 所以當地有錢的八拿馬人也會願意花錢去那邊上
- 這種像這樣的學校在八拿馬很多對不對
- 應該沒有很多耶
- 就可能是少數幾個,然後會有一些替代儀去教他們中文這樣子
- 對對對對
- 好,那我們等一下就...反正就等下會有一段音樂
- 然後就開始進入主題這樣子
- 這麼帥,好可以,期待這個音樂
- 欸,所以當初你就是因為專長的關係
- 所以主動申請這個外交替代儀教嗎?
- 是是是
- 是是是,因為我大學是念師大的應用華語系
- 簡單來說就是要學教外國人中文
- 所以這樣才有資格去申請這樣的替代儀呢?
- 對,這個替代儀其實它...
- 其實它申請條件沒有想像中這麼難
- 本科系一定是第一優閒
- 對
- 然後再來就是如果你有國小或國中的教師證
- 或是國小、國中、高中教師證
- 也可以
- 所以就馬上加分然後直接上這樣子
- 對
- 但其實我沒有那個教師證
- 可是還是可以上,所以代表說競爭真的蠻不激烈
- 對,沒錯
- 幹!
- 欸,你知道我每次聽到別人當兵做一些很屌的事
- 我覺得很不爽
- 我就超不爽
- 像你幫兵到巴拿馬對不對?
- 對
- 然後像我之前有同學啊,當兵可能什麼海軍樂隊啊
- 到邦交國去吹奏什麼的
- 然後我當兵在吳老坑蘇奧的一個山上
- 草地,撿垃圾,然後撿了一年
- 完全沒有學到任何東西,也沒有得到任何經驗這樣
- 超級不爽
- 幹!
- 不過現在小朋友應該是不用當什麼兵這樣
- 我的意思是說現在還有替代衣這種東西嗎?
- 好像有,現在替代衣好像是變六個月
- 然後如果你是一般兵就是四個月
- 當兵四個月VS替代衣六個月就對了
- 對
- 幹,還是有點難選
- 應該還是替代衣
- 因為替代衣通常都會比較爽啊,老實講
- 而且替代衣就是有很多好玩的事可以做
- 當然也有很廢的替代衣啦
- 對
- 不過我覺得你這樣替代衣真的是萬中選一這樣
- 而且只要你出國就會有海外加計喔
- 真假的啦,因為還要加薪就對了
- 對,所以我其實那個時候一個月的薪水
- 比現在還多
- 哈哈
- 那你可以用每張替代衣下去嗎?
- 你就可以去認嗎?
- 我其實可以,因為像我前幾屆的
- 前幾屆有一些學長
- 對
- 他也是跟我去同一個替代衣
- 就是巴拿馬嘛
- 然後他有被續聘

- 可以可以
- 替代衣結束之後續聘變成什麼?
- 就是替代衣,因為我們去其實是華語老師
- 對
- 那他續聘就是在以華語老師的身份在聘我們
- 喔,就是正職的華語老師這樣感覺
- 對
- 欸那你在選的時候
- 應該說你在報名的時候
- 你就知道你要去巴拿馬嗎?
- 還是去邦交國選一個這樣?
- 嗯,那個時候他列出來的選項裡面
- 他會直接告訴你說哪些學校
- 他開的是學校
- 嗯
- 對,所以我在申請的時候就知道我要去巴拿馬
- 所以你可以申請別的國家嗎?
- 像我確定知道的有菲律賓跟馬來西亞
- 然後泰國好像也有
- 日本跟韓國疑似也有
- 可是這些都不是邦交國欸
- 為什麼這些都可以申請啊?
- 我也不知道欸
- 我以為只有邦交國才OK
- 你想巴拿馬那個時候是邦交國嗎?
- 對,那個時候是邦交國
- 所以那時候你就選巴拿馬
- 你沒有選其他地方
- 沒有,因為我知道巴拿馬
- 我有一個是我本科西有事
- 一個是我會西班牙文
- 我就是仗著這兩店
- 我想說再怎麼刪也不會把我刪掉
- 我一定上得了這樣
- 所以你就果然高中這樣
- 對,就直接中了
- 前面作業非常冗長
- 可是我跟你講
- 最爽的是
- 就是這種特殊替代儀最爽的時候
- 是你在成功領的時候
- 你還是要新訓齁
- 對,因為就是你還是統一
- 替代儀會統一新訓兩個禮拜
- 對,對對
- 然後那兩禮拜我們就是大爺
- 因為其他人全部都要一直念書
- 因為他們的考試成績會影響到他們分發
- 跟他們選的異別
- 對,對對,對
- 然後我一進去就很像是
- 我知道我要考學車
- 但我早就知道我會去台大
- 是這個意思
- 所以你就是看著這些明明眾
- 身在讀書
- 然後幹,會認真幹嘛這樣
- 對,然後
- 幹,很爽這樣
- 超爽的,然後每次在
- 就是在裡面上課的時候
- 因為其實替代儀的心訓
- 就是一直聽演講或什麼之類的
- 然後大家都在努力念書的時候
- 我就是在
- 放空這樣
- 撐著不要睡著
- 然後結束之後
- 直接就是送到巴拿馬這樣子
- 對,結束之後就還有一些
- 就是一些打針啊
- 然後一些健康檢查那些東西
- 然後就飛了
- 所以你到巴拿馬是
- 是在巴拿馬市嗎
- 還是哪裡
- 對,我們在巴拿馬市
- 巴拿馬市是巴拿馬首都嗎
- 對不對
- 因為像我是沒有去過巴拿馬
- 然後我去過哥斯大里甲
- 那但是
- 我看巴拿馬市的照片
- 因為這照片是一個超級超級現代化的都市這樣
- 是,巴拿馬市
- 我到的時候其實蠻驚訝的
- 因為我對中美洲的想像就是
- 偏
- 可能是大概像780年代的台灣
- 我原本是抱持著這種想像區的
- 我跟你講那個
- 像哥斯大里加的時候都San Jose
- 就有點像你講的那個感覺
- 對不對
- 就是好多幾十年前的台灣的感覺
- 對啊
- 可是我到的時候發現
- 它有一區根本就是信義區啦
- 所以它其實是現代的台灣
- 它其實是每個香港的
- 哈哈
- 哈哈
- 對,它其實蠻現代的
- 可是它的街景看起來就是這種
- 現代都市這樣
- 然後大樓林立這樣子
- 嗯
- 可是其實要看
- 比較center一點的地方
- 差不多就是高樓林立這樣
- 可是如果像我住的那一區
- 我住的那區就比較
- 有一點到郊區了
- 那郊區的話就沒有這麼多高樓
- 就還是很多愛房
- 像我住的那一條大馬路上
- 基本上都是一層樓的
- 一層樓
- 一層樓
- 一層樓到兩層樓
- 然後就是越靠近中間
- 越靠近比較大的馬路的時候
- 才會出現比較高樓層的公寓
- 欸可是這樣不錯欸
- 就是說它
- 你在居住的地方是蠻舒爽的
- 然後你在商業化的地方
- 它就有很多辦公大樓這樣

- 欸可是這真的很神奇欸
- 因為
- 其實霸大馬人口很少
- 然後它
- 地也算是不小這樣
- 可是它卻有這麼集中化的都市
- 覺得非常令人意外這樣
- 欸其實像中美洲這種
- 像很多國家
- 他們都是
- 大城市的數量是很少
- 像哥斯大利家也是這樣
- 它基本上只有一個城市
- 其他地方都
- 說不上什麼大城市這樣
- 然後所以人口就會超集中在首都
- 對
- 所以其實霸大馬市也有這種感覺
- 霸大馬市也有這種感覺
- 我覺得霸大馬市也是這樣子
- 而且真的有錢的就很有錢
- 然後像我住的那個地方
- 它是
- 我住的地方是被分配到的
- 因為它是一個台商
