大家好,我是尤尚捷
讓我們隆重歡迎這次的乾爹 Surfshark VPN
你有在看劇的時候跳出
你所在的區域不支援本服務過嗎?
這應該是大家最主攔的一行字了吧?
也是我在德國使用很多服務的家常便飯
像 Netflix 甚至很多電影跟劇的字幕
居然都跟你所在的地區有關
像我前陣子想從上面看鬼滅之刃
結果發現德國版居然只有德文字幕可以選
其實我真心不懂這個設計耶
字幕檔不是本來都有嗎?為什麼?
就是不讓我選了
反正總之最後我就只好放棄
幸好 Surfshark VPN 即時出現
手指輕輕一點
我們的網路位置馬上可以從台灣、德國、美國
或是其他世界各國之間跳躍
追劇無國界
這應該某種程度上應該是解鎖地球了吧?
而且就像旅行箱我們會上鎖一樣
我們的網路足跡也需要受到保護
透過 Surfshark VPN
可以讓我們的資料更加保密
隱私也更受到保護
現在 Surfshark 推出30 天內 100% 的退款保證
另外只要在註冊的時候
輸入解鎖地球的專屬優惠碼
Unlock
UNLOCK
就可以享有83% 的折價
以及額外三個月的免費期
坦白說
這樣的優惠連我也覺得有點太扯了
所以現在就到資訊欄點擊連結試試看吧
- 嗯
- 好啦
- 所以現在開始錄了嘛對不對?
- 對對對對
- 還在跑
- 非常緊張
- 所以我才會想要那個備份啊
- 因為就是
- 再三確認
- 因為我不知道Google Me是不是能夠備份這種
- 沒關係啦
- 失敗就算了
- 失敗大不了從此不做Podcast
- 不要這樣子
- 我就跟你再錄一次
- 哈哈哈哈
- 講更好
- 哈哈哈哈
- 好
- 那就開始囉
- 好
- 大家好,我是有上傑
- 哈囉,我是Pin
- 歡迎收聽解鎖地球
- 歡迎Pin來到我們的節目
- 我一開始就想破梗了
- 我們今天的主題是印度
- 我開心的點是因為
- 終於我請到一個在印度
- 待過好多年的人來分享印度
- 我真的覺得非常的欣慰這樣
- 短短三年還可以還可以
- 所以謝謝大家
- 三年在台灣這個PR直營是傲視群雄
- 可是PR99.9之類的
- 哈哈哈哈
- 好
- 我希望前輩在那邊聽到的
- 就不要對我翻白眼
- 因為我其實認識蠻多
- 在印度住比較久的人
- 例如像是外派的啊
- 或者是
- 欸你有沒有聽過印度有
- 久仰久仰
- 我聽過他好多集Podcast
- 我之後也想找他當來賓
- 真的
- 他真的是一個幽默到一個不行
- 然後就連我都要拜讀他的作品的那一種
- 所以我就在他的那個筆數裡面
- 還算是小咖這樣
- 欸不行啦
- 現在這集是你當家
- 你不能這樣自己試
- 好那我就很厲害
- 請大家叫我印度媳婦好不好
- 哈哈哈哈
- 跟別人比的話
- 我還是先生是印度人這樣
- 哇所以你已經占了不少優勢這樣
- 還可以還可以
- 就是還可以混久一點這樣
- 對你知道我們在之前的時候其實
- 你也介紹過幾次印度
- 大概有總共三集嘛
- 以單一國家來說
- 在解鎖地球介紹三集已經算很多了
- 對
- 可是視角都不太一樣
- 我自己在做功課的時候
- 我也覺得
- 喔
- 就是他們看到印度跟我看到印度差很多欸
- 然後我就
- 我其實在這邊想要
- 我也想要破我的題就是
- 其實清華大學有一個方天次教授
- 他做印度演奏做很久
- 喔
- 然後他以前也外派印度
- 他說過一句話就一直影響到現在
- 就我怎麼樣看一個國家
- 他就說印度非常大
- 就很像一頭大象一樣
- 然後呢
- 我們大家都像蝦子
- 我們摸到哪裡就是哪裡
- 我們大家就覺得
- 喔
- 我可能摸到尾巴
- 然後他可能摸到象牙
- 你可能摸到象的腿這樣
- 我們大家都看到不同的樣貌
- 可是好像從來沒有一個人
- 能夠看到他的全貌
- 所以就是我很希望
- 聽眾在聽我的故事的時候
- 就是只是拿來當成一個視角來聽
- 然後我很不希望
- 大家就覺得
- 喔
- 我說的這個故事
- 就是代表全部印度人
- 欸其實真的不是
- 所以這一集是大象在哪裡啊
- 不好說
- 我在想
- 不過這其實也是一個
- 解走地球的職責你知道嗎
- 就是每一集的來賓
- 他們其實提供不同的視角
- 譬如說像以前10號
- 他提供的是他去印度出差的視角
- 然後呢
- 阿偉他是在北印度有瘋狂的旅程
- 看詩題
- 然後又被騙了
- 又各種奇奇怪怪的經歷
- 一樣
